target,family,model,lag_months,formula,n_obs,n_train,n_test,train_r2,full_r2,test_rmse,test_mae,test_r2,high_leverage_month_count,high_leverage_months,max_cooks_distance,coef_intercept,hac_se_intercept,t_intercept,p_intercept,coef_Energy_consumption_growth_lag,hac_se_Energy_consumption_growth_lag,t_Energy_consumption_growth_lag,p_Energy_consumption_growth_lag,coef_Oil_price_YoY_lag,hac_se_Oil_price_YoY_lag,t_Oil_price_YoY_lag,p_Oil_price_YoY_lag,coef_GM2_YoY_lag,hac_se_GM2_YoY_lag,t_GM2_YoY_lag,p_GM2_YoY_lag,frequency,window_periods,rolling_rmse,rolling_mae,rolling_r2,directional_accuracy,sign_accuracy,n_rolling_predictions,coef_Real_activity_growth_lag,hac_se_Real_activity_growth_lag,t_Real_activity_growth_lag,p_Real_activity_growth_lag,coef_Oil_price_YoY,hac_se_Oil_price_YoY,t_Oil_price_YoY,p_Oil_price_YoY,coef_Oil_price_burden,hac_se_Oil_price_burden,t_Oil_price_burden,p_Oil_price_burden,coef_GM2_YoY_lag5_proxy,hac_se_GM2_YoY_lag5_proxy,t_GM2_YoY_lag5_proxy,p_GM2_YoY_lag5_proxy,coef_financial_crisis_2008_2009,hac_se_financial_crisis_2008_2009,t_financial_crisis_2008_2009,p_financial_crisis_2008_2009,coef_shale_regime_2014_2017,hac_se_shale_regime_2014_2017,t_shale_regime_2014_2017,p_shale_regime_2014_2017,coef_covid_2020_2021,hac_se_covid_2020_2021,t_covid_2020_2021,p_covid_2020_2021,coef_war_spr_2022_2023,hac_se_war_spr_2022_2023,t_war_spr_2022_2023,p_war_spr_2022_2023,coef_Energy_consumption_growth,hac_se_Energy_consumption_growth,t_Energy_consumption_growth,p_Energy_consumption_growth,coef_WTI_YoY,hac_se_WTI_YoY,t_WTI_YoY,p_WTI_YoY,coef_GM2_YoY,hac_se_GM2_YoY,t_GM2_YoY,p_GM2_YoY,regime
Industrial_production_YoY,energy_gdp,real_activity_model,0,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,264,212,52,0.6142051615839393,0.5679467945735164,2.548313470550274,2.066296538510299,-2.878882346901518,23,2005-02;2008-06;2008-09;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-12;2011-12;2012-01;2012-03;2016-12;2020-04;2020-05;2020-11;2021-04;2021-05;2024-01,0.06296622227886811,1.167206428158928,0.4133709636194866,2.823629453648217,0.005115825022372844,0.530751331425529,0.09046470938564868,5.866943419482507,1.3457531977678627e-08,0.044095860236601336,0.009688123799507575,4.551537650545158,8.183585975318763e-06,-0.14804590787058136,0.05634560889188305,-2.6274613192068696,0.009113591675782962,monthly,60,3.115791231855794,2.2758543261280084,0.5027273931079308,0.5665024630541872,0.6813725490196079,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,1,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,264,212,52,0.5601892539585533,0.5269438520860887,2.249357314286786,1.8919873905475448,-2.1016384742571317,23,2008-06;2008-07;2008-08;2008-09;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2012-01;2012-02;2012-04;2017-01;2020-04;2020-05;2020-12;2021-04;2021-05;2021-12,0.1292053863390688,0.9230048273527335,0.43872606823842963,2.1038294602797984,0.036353894646361296,0.46290482577468206,0.0968337198078361,4.780409414130782,2.930602690742745e-06,0.048314468992139925,0.010189556363529638,4.74156747050015,3.4980788328198287e-06,-0.12067797681691228,0.06222750613904021,-1.9393027987859774,0.053546236921197865,monthly,60,3.1736081920649695,2.216957430919268,0.4516433260484156,0.5320197044334976,0.7303921568627451,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,2,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,264,212,52,0.4057233148399577,0.3814851291434439,1.9869912272817298,1.6755774716548593,-1.4014266263606876,23,2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2012-02;2012-05;2020-04;2020-05;2021-04;2021-05;2021-06;2021-07;2022-01,0.32071145783444005,0.5381928880148509,0.53102413765187,1.01349985783072,0.3117636826376735,0.38197371163372346,0.097629410693685,3.9124860932754846,0.00011669038485040417,0.04215808557168588,0.012012444401028784,3.5095342932929894,0.0005288862756052115,-0.059892717883036656,0.08529770424481291,-0.7021609598206605,0.48320689647454174,monthly,60,3.586687569108885,2.303968164271672,0.24981927885577504,0.49261083743842365,0.7549019607843137,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,3,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,263,211,52,0.31851536071189657,0.3022534703900672,1.75132341985851,1.4929173890198855,-0.8655639165119677,21,2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2012-06;2020-04;2020-05;2021-04;2021-05;2021-07;2021-08;2021-09,0.36099775604486106,0.16332925096017437,0.6540635558266766,0.24971464853096897,0.8030059691817291,0.40806367292617635,0.10845061296342237,3.7626682023808002,0.00020795515315374935,0.028954915973490647,0.01521481934780028,1.903073267687327,0.05813974154418333,0.008678351959287706,0.11264321439104433,0.07704282948780691,0.9386489547483281,monthly,60,3.6936407112587863,2.364100066485095,0.1457621756198103,0.599009900990099,0.7881773399014779,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,4,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,262,210,52,0.23656473955345458,0.22881882985132662,1.4899157904070088,1.2350667913360158,-0.35020859469890553,21,2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2020-04;2020-05;2021-03;2021-04;2021-05;2021-06;2021-08;2021-09,0.25261710474712845,-0.01865344242227411,0.7344120209452493,-0.02539915182524597,0.9797562216006477,0.3903051670740668,0.11535095198955367,3.383631953981735,0.0008265703724432694,0.01993134308637018,0.0171779120887822,1.1602890376523738,0.24700368738594136,0.0447225467428968,0.13110699234523296,0.34111488596376843,0.733294725131568,monthly,60,3.807157726971121,2.4949940779465036,0.03132457391839205,0.5174129353233831,0.806930693069307,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,5,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,261,209,52,0.16266793611941566,0.16125103150799291,1.285414638574333,1.114282871768558,-0.0049950095329589494,21,2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2010-06;2020-04;2020-05;2020-06;2021-04;2021-05;2021-06;2021-09,0.3007622734551047,-0.04830154276280843,0.7636978915664774,-0.0632469243351367,0.9496190423621853,0.33771879292659795,0.11784804799902397,2.8657139312939233,0.004504971455573381,0.014900829185623243,0.017226053806031788,0.8650169884181858,0.38783617090847455,0.0544079023413217,0.13942533160691878,0.39022967859752816,0.6966899520841587,monthly,60,3.9534690075486685,2.527182218733726,-0.09657802209315403,0.52,0.8059701492537313,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,6,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,261,209,52,0.11165592927262202,0.11344537420295786,1.1568990349175263,0.9076161060525696,0.18591764826808233,19,2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2010-05;2020-04;2020-05;2021-04;2021-05;2021-06;2021-10,0.2468106866704442,-0.1481791545856679,0.7552368479514808,-0.19620223111146118,0.844606934077742,0.29642158952763387,0.13103065010008116,2.262230930711457,0.024518627195801557,0.00987945227071585,0.01694127788694125,0.583158622191728,0.560297889499374,0.0758374405507003,0.1294758296381632,0.5857266237462061,0.5585732355797859,monthly,60,4.114807225691635,2.6390824925139196,-0.18790537608995095,0.47,0.7960199004975125,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,7,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,261,209,52,0.07729321106563813,0.08255170306773651,1.0036011829748621,0.7915352133989637,0.38736789618576983,20,2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2010-06;2020-04;2020-05;2021-04;2021-05;2021-06;2021-11,0.14961971409694855,-0.22892905922667886,0.7773045522039708,-0.2945165554190735,0.7686009645260956,0.268215986116369,0.14028067488475596,1.9119952647555698,0.056988691255053014,0.005306328296575125,0.017810039239179284,0.2979402922876238,0.7659894529469093,0.09346620539614153,0.12506691268472983,0.7473295965316763,0.45554783764523354,monthly,60,4.213053377449836,2.736446244276543,-0.24530801465950902,0.53,0.7810945273631841,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,8,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,261,209,52,0.050498509150529336,0.05856404002700011,0.8732794497927062,0.6516828061021087,0.5361432262280771,22,2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2010-07;2017-10;2020-04;2020-05;2021-04;2021-05;2021-06;2021-07;2021-12,0.12385030728685752,-0.3308216121554674,0.8202122469112173,-0.40333659171913916,0.6870359830591091,0.25014645924856244,0.14468824995255244,1.7288650552521911,0.0850341614803658,-0.0006836496510787549,0.018975366619507137,-0.03602827100984423,0.9712877844457184,0.11609506869593111,0.1240183407300429,0.9361120944896466,0.3500942714876478,monthly,60,4.243094879669257,2.8025196349351993,-0.26313086230042715,0.515,0.7711442786069652,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial_production_YoY,energy_gdp,real_activity_model,9,Industrial_production_YoY_t = alpha + Energy_consumption_growth_lag + Oil_price_YoY_lag + GM2_YoY_lag,261,209,52,0.03683447009819496,0.043879790219578774,0.9583849229011739,0.723163940028286,0.4413274050362237,19,2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-08;2017-11;2020-04;2020-05;2021-02;2021-04;2021-05;2021-06,0.10801389769186398,-0.3277526079983063,0.8704013119786539,-0.37655343976129513,0.7068161887143747,0.2314757186177795,0.14899365355397837,1.553594486049159,0.12151173336588061,-0.005610074964492062,0.020163318764432114,-0.27823172514577194,0.7810582007104161,0.12316949759180934,0.1276676730982098,0.9647665270523087,0.3355686936160931,monthly,60,4.30364491208544,2.8866264167084656,-0.29943847734464857,0.525,0.7512437810945274,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
