target,locked_model,locked_lag_months,peak_correlation_lag_months,peak_correlation,rolling_rmse_60m,rolling_mae_60m,rolling_r2_60m,directional_accuracy_60m,sign_accuracy_60m,residual_explained_variance_ci_regime,residual_directional_accuracy_ci_regime,final_role_for_ci,primary_decision,latest_complete_month,latest_gm2_usd,latest_gm2_yoy,latest_wti_yoy,latest_brent_yoy,latest_comparative_inventory_kb,latest_ci_zscore,model_implied_wti_yoy,actual_wti_yoy,wti_residual,regime,ci_interpretation
WTI_YoY,gm2_only,5,4,0.5321138882633321,31.627711770995013,22.295410982989154,0.3607896178754386,0.4975124378109453,0.6831683168316832,0.14843722270289816,0.5177304964539007,market-state diagnostic / residual explainer / regime signal,Use GM2-only lag 5 for Oil_YoY momentum; use CI to interpret residuals and regime risk.,,,,,,,,,,,,
Brent_YoY,gm2_only,5,4,0.5226942846644282,32.35847677178564,23.98950921363625,0.34638220965180055,0.4975124378109453,0.6584158415841584,0.1352236884387975,0.5035460992907801,market-state diagnostic / residual explainer / regime signal,Use GM2-only lag 5 for Oil_YoY momentum; use CI to interpret residuals and regime risk.,,,,,,,,,,,,
current_signal_snapshot,gm2_only,5,,,,,,,,,,,,2026-05,102408913716791.89,9.587530614971683,64.28809976101478,66.22883912961464,-6283.900000000023,-0.29392817729373444,38.17968882765814,64.28809976101478,26.108410933356637,normal_period,"inventories are near normal versus history, so CI is not sending a strong surplus/deficit signal"
