target,family,model,lag_months,formula,n_obs,n_train,n_test,train_r2,full_r2,test_rmse,test_mae,test_r2,high_leverage_month_count,high_leverage_months,max_cooks_distance,coef_intercept,hac_se_intercept,t_intercept,p_intercept,coef_CI_zscore,hac_se_CI_zscore,t_CI_zscore,p_CI_zscore,coef_CI_monthly_change,hac_se_CI_monthly_change,t_CI_monthly_change,p_CI_monthly_change,coef_inventory_surplus_dummy,hac_se_inventory_surplus_dummy,t_inventory_surplus_dummy,p_inventory_surplus_dummy,coef_inventory_deficit_dummy,hac_se_inventory_deficit_dummy,t_inventory_deficit_dummy,p_inventory_deficit_dummy
WTI_YoY,residual,residual_ci_dummies,0,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,266,213,53,0.19638793995378867,0.1264297241147101,46.1135638492965,36.97979436349298,-1.1878142314714784,8,2015-08;2017-02;2020-04;2021-03;2021-04;2021-05;2021-10;2021-11,0.7530863070673043,9.071335196908048,5.791069101784908,1.566435322643984,0.118458329973816,-2.666174277355944,0.8151003317428656,-3.270976803131795,0.0012160470994406758,-0.00018711853640551723,0.00024368266901242345,-0.7678779010581895,0.44325387576398323,-11.79635313413627,7.948645855934975,-1.4840707899105037,0.13899676984181264,4.893058211674914,12.29571795447301,0.3979481499000136,0.6909937069522307
WTI_YoY,residual,residual_ci_dummies,1,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,266,213,53,0.1701164777591022,0.11468391274818435,42.42119516038059,34.92020037189963,-1.03799776540396,8,2015-08;2017-02;2020-04;2021-03;2021-04;2021-05;2021-10;2021-11,0.5426607476931525,8.426259198331161,5.475020765502818,1.5390369387132918,0.12500672785290723,-2.319247024269011,0.7328154642731498,-3.1648445445530804,0.0017355841396824445,-0.0001551741004219842,0.00023220435722546838,-0.6682652396195629,0.5045548406029274,-11.50269475310475,7.6963279156829065,-1.4945692126326324,0.13623492429822615,4.931876813211151,11.673783078837019,0.422474597986318,0.673026466164611
WTI_YoY,residual,residual_ci_dummies,2,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,265,212,53,0.1391040736805279,0.10238567019294076,38.22637236846244,31.922410770079402,-0.8734041582618204,8,2008-11;2009-02;2015-08;2017-02;2020-04;2021-03;2021-04;2021-10,0.4505364731688629,7.298236703894516,5.186111398946669,1.4072657030423281,0.16054293378539608,-2.013743836101892,0.6737206899252189,-2.988989155617904,0.003067024975995425,-0.00014025907231385304,0.00022394366771890506,-0.6263140804227014,0.5316584281199956,-10.350356087725377,7.327623434387067,-1.412512007529376,0.15899510863256605,5.877459289505439,10.994731909588666,0.5345704959281109,0.5934037178074791
WTI_YoY,residual,residual_ci_dummies,3,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,264,212,52,0.124818347912801,0.09468457002853148,34.66959246421546,29.76074396663072,-0.8502966111238799,8,2008-10;2008-11;2015-08;2017-02;2020-04;2021-03;2021-04;2021-10,0.3439201004120755,7.001955254270928,5.272760372478062,1.327948694732772,0.18536415553684105,-1.8367737514281668,0.6267509508421775,-2.930627785981111,0.00368472153540389,-0.00017725092819032007,0.00022198763037964658,-0.7984720945360012,0.4253281237032287,-9.89347225250573,7.17464188247644,-1.3789499761193436,0.16909986028384627,5.107202949312704,10.228261602900783,0.49932267550375103,0.6179759567801089
WTI_YoY,residual,residual_ci_dummies,4,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,263,211,52,0.11105093256571785,0.08795245964776321,32.11257485648825,27.660591407370433,-0.8262158699205249,8,2008-10;2008-11;2015-08;2017-02;2020-04;2021-03;2021-04;2021-10,0.39567621309727374,6.691848916797568,5.5961418986604965,1.195796861119505,0.23287371603901819,-1.789658598784446,0.6482803953290909,-2.76062427875202,0.006183103088485131,-0.00023921753171252114,0.00022478422990253135,-1.0642095836360417,0.28822875814655946,-9.029801661009616,7.289678785768153,-1.2387105010221786,0.2165785316831672,4.110949116255829,9.869960047731983,0.4165112215626935,0.6773822546034947
WTI_YoY,residual,residual_ci_dummies,5,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,262,210,52,0.10858771657057387,0.09162376502441538,30.195058076315767,25.667451589782583,-0.740680145504854,10,2008-10;2008-11;2008-12;2009-01;2009-02;2015-08;2017-02;2020-04;2021-03;2021-04,0.4790385750686142,7.3738622242528225,5.935511850120781,1.242329627242303,0.215247370878203,-1.8751089145025268,0.6919594867073748,-2.709853612131339,0.0071842612042654075,-0.0003176826376027897,0.00022100573058443215,-1.437440725010628,0.15180921242731427,-9.37265323742672,7.562478518204779,-1.2393626262692048,0.21634181715160872,2.3468026854220057,9.70362341156092,0.24184807941186373,0.8090907477400373
WTI_YoY,residual,residual_ci_dummies,6,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,261,209,52,0.11631155042247343,0.10103866619339985,29.89491328266482,24.330933746795715,-0.7313498553193127,11,2008-10;2008-11;2008-12;2009-01;2009-02;2009-06;2015-08;2017-02;2020-04;2021-03;2021-04,0.4738893148500123,8.34020713910356,6.267727734138322,1.3306588117535962,0.18448532011800012,-2.1275583616094025,0.723543154648279,-2.9404719648596886,0.003576891111152669,-0.0003755290827878177,0.0002203773013210706,-1.7040279581276134,0.0895892586831395,-9.845915453198602,7.884976600608615,-1.248693046525798,0.21291805564395894,0.6772825920022313,9.788904071923069,0.06918880673729766,0.9448933454827815
WTI_YoY,residual,residual_ci_dummies,7,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,260,208,52,0.12491268799302424,0.10873959743370931,29.61497870861426,24.39931627737614,-0.7777637962727759,10,2008-10;2008-11;2008-12;2009-01;2009-02;2015-08;2017-02;2020-04;2021-03;2021-04,0.589050377388715,9.331160544147755,6.520584995257028,1.4310311959640272,0.1536456223238265,-2.4256316177465407,0.7738101347668396,-3.1346599233640426,0.0019218956824973432,-0.0004033384264183759,0.0002242032072720612,-1.7989859793974385,0.07320324135576017,-10.187299313703019,8.138588486240776,-1.2517280276458043,0.21181597044755707,-1.5240618971240436,9.78893326527181,-0.1556923370323666,0.8763987141069347
WTI_YoY,residual,residual_ci_dummies,8,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,259,208,51,0.14602507378387397,0.11591057527035786,32.28189846399792,26.493395926541186,-1.4215290879072513,9,2008-11;2009-01;2009-02;2015-08;2017-02;2020-04;2021-03;2021-04;2021-05,0.6597084116712228,10.085533302332681,6.802882932400432,1.4825381242851918,0.13943679419820842,-2.7224938861225367,0.8123913411336935,-3.351209876662757,0.0009270486956509671,-0.0003986542807554727,0.00022845875530271156,-1.7449726548113655,0.08219903214240554,-10.452271436389736,8.392103174228474,-1.245488910156382,0.21409979755728115,-2.7639341356923275,9.741326167203932,-0.2837328396823062,0.7768462649146368
WTI_YoY,residual,residual_ci_dummies,9,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,258,207,51,0.1627746710026875,0.1250218671009834,34.4692740485315,28.318893034622338,-1.8046019928087191,8,2008-11;2009-02;2015-08;2017-02;2020-04;2021-03;2021-04;2021-05,0.7679863270248605,10.887511579306093,7.143226591886412,1.5241727865209544,0.12871455433646384,-2.989520250386815,0.8429958705583757,-3.5463047386064237,0.00046536901101523753,-0.00040726598556029003,0.00022903226507857262,-1.7782035444681645,0.07657137120074142,-10.896830325148736,8.702255330333102,-1.252184624733555,0.21165891728676933,-3.772295061647856,9.866826828970272,-0.38232099610504083,0.7025442448553014
WTI_YoY,residual,residual_ci_dummies,10,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,257,206,51,0.1815198468255489,0.13349330629864964,37.552126174325984,31.197158839916533,-2.285090266102625,10,2008-06;2008-11;2009-02;2015-08;2017-02;2020-04;2021-03;2021-04;2021-05;2021-10,0.8682650863505605,11.285908337458041,7.534279457317913,1.4979412963632823,0.1354000439525369,-3.185607467433396,0.8575175705223831,-3.7149180109426627,0.0002503578202066592,-0.00041243352988873383,0.00022283332367428537,-1.8508610969317425,0.06535970058273333,-11.122747444619966,9.005655182428589,-1.235084757222567,0.21794924686741424,-3.632814159466231,10.281880855006952,-0.35332194670366807,0.7241424819755833
WTI_YoY,residual,residual_ci_dummies,11,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,256,205,51,0.20136786522990602,0.13990944228203483,41.51102775016398,35.12745962286526,-2.803126988028187,8,2008-06;2015-08;2017-02;2020-04;2021-03;2021-04;2021-05;2021-10,0.9283674966238004,11.515721077859896,7.772314624569912,1.481633417342151,0.1396921548198531,-3.3656402956659797,0.8649093666995694,-3.891321362964325,0.00012779120868344762,-0.0003979928522990228,0.0002234074323923423,-1.7814664804887876,0.07604537295585767,-11.261058753427433,9.16355024064959,-1.228896929431704,0.22026133191990582,-3.271986498208051,10.725295717979321,-0.3050719144949136,0.7605642021136712
WTI_YoY,residual,residual_ci_dummies,12,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,255,204,51,0.22078591964064198,0.14349833373536913,45.78135428215167,39.48619131810998,-3.340965366129037,8,2008-06;2015-08;2017-02;2020-04;2021-03;2021-04;2021-05;2021-10,0.9530777878908833,11.517091237642017,8.063988175825893,1.428212813129834,0.15447868435837342,-3.5118398558822346,0.8581674080773595,-4.092254987578904,5.768123073379705e-05,-0.0003756785118826933,0.00022657248324363158,-1.6580941626469672,0.09855262690892452,-11.170108872437257,9.314633885000497,-1.199199991147764,0.23158555867670727,-2.7046454597054437,11.333587574626288,-0.23863983420048054,0.81158037250436
WTI_YoY,residual,residual_ci_dummies,13,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,254,204,50,0.24030888827017427,0.1465562426256507,49.042098917865516,42.8263159518058,-3.957734772248873,8,2008-06;2015-08;2017-02;2020-04;2021-03;2021-04;2021-05;2021-10,0.9417229865214717,11.426348756925671,8.271614547253872,1.3813927972162523,0.1683965268208636,-3.590014089109498,0.845691536164791,-4.245063283227598,3.0867782482957296e-05,-0.0003762346602105282,0.00023129697647801328,-1.626630256648826,0.10508046308382668,-11.066490817318961,9.42122556964372,-1.1746338876522049,0.24126333142620493,-2.1451835805819157,11.851687138971235,-0.1810023801192009,0.8565129481371314
WTI_YoY,residual,residual_ci_dummies,14,GM2_residual_t = alpha + CI_zscore + CI_monthly_change + inventory_surplus_dummy + inventory_deficit_dummy,253,203,50,0.25221830548512103,0.1471288959715441,51.97640750798975,45.60916663223401,-4.239387479160328,9,2008-06;2015-08;2017-02;2019-07;2020-04;2021-03;2021-04;2021-05;2021-10,0.9906092698362085,11.331922962950772,8.455910524388722,1.3401185987324478,0.18143329284744336,-3.6179324598978937,0.8494574042034093,-4.259109923576052,2.915382240042952e-05,-0.00038024289554217106,0.0002351490135632209,-1.6170295157965484,0.10714314248750911,-11.002543181339089,9.538016170982662,-1.153546291398827,0.249796741285931,-1.8293613660616665,12.327556009443171,-0.14839611068571393,0.8821507577292431
