target,family,model,lag_months,formula,n_obs,n_train,n_test,train_r2,full_r2,test_rmse,test_mae,test_r2,high_leverage_month_count,high_leverage_months,max_cooks_distance,coef_intercept,hac_se_intercept,t_intercept,p_intercept,coef_GM2_YoY_lag,hac_se_GM2_YoY_lag,t_GM2_YoY_lag,p_GM2_YoY_lag,coef_CI_zscore,hac_se_CI_zscore,t_CI_zscore,p_CI_zscore,coef_CI_monthly_change,hac_se_CI_monthly_change,t_CI_monthly_change,p_CI_monthly_change,coef_GM2_x_CI_zscore,hac_se_GM2_x_CI_zscore,t_GM2_x_CI_zscore,p_GM2_x_CI_zscore,coef_GM2_x_CI_monthly_change,hac_se_GM2_x_CI_monthly_change,t_GM2_x_CI_monthly_change,p_GM2_x_CI_monthly_change
WTI_YoY,interaction,interaction_full,0,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change + GM2_x_CI_zscore + GM2_x_CI_monthly_change,266,213,53,0.3861370074702337,0.3049019534441134,36.45291993057316,31.394965880683362,-0.525635348023602,8,2015-03;2015-08;2017-02;2020-04;2021-01;2021-03;2021-04;2021-05,0.2103934812725116,-2.303305842810515,6.473903128768781,-0.355783180099663,0.7222914397992908,3.1349316657482347,0.7897523688537055,3.9695122032979335,9.324568330204563e-05,-1.9848014371090936,0.7088112647089551,-2.8001832588313516,0.005490626185001624,-0.0004004539202612234,0.0003058805210790645,-1.3091841181927155,0.1916278149655024,-1.2156227987311585,0.3303215548877054,-3.6801195100465542,0.00028339392707121824,2.7294398283750354e-05,3.8695388357432504e-05,0.7053656635160175,0.4812141593302188
WTI_YoY,interaction,interaction_zscore,0,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + GM2_x_CI_zscore,266,213,53,0.3734854232236027,0.29951971005970957,35.29080566961437,29.891447574421633,-0.4299117850337577,6,2015-03;2015-04;2015-08;2021-03;2021-04;2021-05,0.2570480187452526,-3.1048290433401595,6.449445055475224,-0.4814102634620215,0.6306267719501664,3.201634849095516,0.7760560819081525,4.125519951114094,4.972270072944873e-05,-2.0805055169466407,0.7973666793265696,-2.609220539167462,0.009596542694675803,,,,,-1.2069910106701143,0.33188213912403697,-3.6368061681650663,0.00033231863479699086,,,,
WTI_YoY,interaction,interaction_change,0,WTI_YoY_t = alpha + GM2_YoY_lag + CI_monthly_change + GM2_x_CI_monthly_change,266,213,53,0.17225148495511655,0.13734357044884848,33.126151535253015,27.327421022472933,-0.259876767804879,17,2008-05;2008-06;2009-01;2017-02;2020-04;2020-05;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05;2021-06;2021-07,0.2872757028583425,-9.167160024133615,7.205720410326427,-1.2722059006058954,0.2044279333414314,2.7245591641217386,0.9827214948935592,2.772463183393421,0.005962679448478614,,,,,-0.00041067995604132657,0.00032243579509988896,-1.2736797907754007,0.20390568897556505,,,,,1.140513227415596e-05,4.524694637394954e-05,0.25206413223771373,0.8011891116230743
WTI_YoY,interaction,interaction_selected_p10,0,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change + GM2_x_CI_monthly_change,266,213,53,0.2519673939847531,0.2204935412068677,31.027479833397262,27.177828945461716,-0.10529728492193557,14,2008-06;2015-08;2017-02;2020-04;2020-05;2020-08;2020-09;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05;2021-06,1.306909801091261,-1.060277060098552,7.048031613797427,-0.15043591149944952,0.8805369042897588,2.2806907740963687,0.9155945627385076,2.4909396220909303,0.013362587130155923,-4.028917051361585,1.2865420158006835,-3.1315860670544646,0.0019365656956986665,-0.00028778899308390393,0.00028260034819121445,-1.0183603627026627,0.3094497688923361,,,,,3.45151772007668e-06,4.13643059865582e-05,0.08344193472503297,0.9335641066758367
WTI_YoY,interaction,interaction_full,1,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change + GM2_x_CI_zscore + GM2_x_CI_monthly_change,266,213,53,0.406138548393437,0.3404470026773865,33.63967441356866,29.648449982305312,-0.3785160825743228,10,2009-01;2009-02;2015-04;2015-08;2017-02;2020-04;2021-01;2021-03;2021-04;2021-05,0.24926337636289486,-5.9906737919052055,6.385695813230403,-0.9381395492552653,0.3490433511309672,3.513364820741812,0.7851376252867955,4.474839451820244,1.1444835364526895e-05,-1.9295741554351808,0.6659786578725638,-2.897351337952947,0.004083869468795909,-0.00033157577297082685,0.0002910212757951231,-1.139352344823936,0.2556048192177687,-1.1847417133644829,0.33501032453704155,-3.536433436795432,0.0004800751742464193,2.4280901974815805e-05,3.517747118216394e-05,0.6902401212719056,0.4906588697584542
WTI_YoY,interaction,interaction_zscore,1,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + GM2_x_CI_zscore,266,213,53,0.397214444073147,0.3366913895672007,32.72733900526413,28.400398744790966,-0.30475707332825075,7,2009-01;2015-04;2015-08;2020-11;2021-03;2021-04;2021-05,0.41545410497160523,-6.586623448561853,6.391810456715436,-1.0304785307958781,0.3037357542453061,3.5615505207148956,0.7736152669344505,4.603774864511135,6.47480086390928e-06,-2.0082782512264536,0.7239999332446613,-2.773865243641944,0.005937785581911159,,,,,-1.1771519041708915,0.32860366081301606,-3.582284814656162,0.00040595162008938424,,,,
WTI_YoY,interaction,interaction_change,1,WTI_YoY_t = alpha + GM2_YoY_lag + CI_monthly_change + GM2_x_CI_monthly_change,266,213,53,0.2282804359950551,0.19238702707612387,32.08339818119475,26.31424569698505,-0.2539175827657365,15,2008-06;2009-01;2009-02;2017-02;2020-04;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05;2021-06,0.3427173310609927,-13.594728440978573,6.8141719650046015,-1.995066827018269,0.047071302101655554,3.3067286342192017,0.9393701044870639,3.5201552811017085,0.000508457452778277,,,,,-0.00034108539370392155,0.0003074724489257557,-1.1093201842818843,0.2683092594264034,,,,,5.381556010597421e-06,4.163133505917562e-05,0.12926695727984627,0.8972455963282722
WTI_YoY,interaction,interaction_selected_p10,1,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change,266,213,53,0.2879191959100772,0.26139071879164233,29.078544425819967,25.22662950565427,-0.030038829092079666,12,2009-01;2009-02;2015-08;2017-02;2020-04;2020-10;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05,1.3917135775904619,-5.683879392940555,6.7706728384368775,-0.8394851632282935,0.40196245118403207,2.8366753915450515,0.8971030738974655,3.162039540474554,0.0017510303624801438,-3.6920018306329587,1.2359966548195978,-2.987064581636616,0.0030836427383009735,-0.00023749041101428503,0.0002349450117948977,-1.010834021118139,0.31302848255902105,,,,,,,,
WTI_YoY,interaction,interaction_full,2,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change + GM2_x_CI_zscore + GM2_x_CI_monthly_change,265,212,53,0.4189964706750635,0.3778233570480518,29.68737727845491,26.282471382376798,-0.07362331229571684,12,2008-09;2008-10;2009-02;2015-08;2017-02;2020-04;2021-01;2021-02;2021-03;2021-04;2021-05;2021-10,0.3314551649839764,-9.120103501772634,6.503792573663724,-1.4022746572059088,0.16203065638519276,3.830894483485736,0.8547951686007514,4.48165200764609,1.1127470661342898e-05,-2.0928572829017615,0.570284486459355,-3.669847826118136,0.00029465085527879964,-0.00016895008248069,0.00028841314818840426,-0.5857918875817836,0.5585254716195363,-1.1136820044013265,0.33434857705824234,-3.330900984236362,0.0009917211023702244,8.278211813372849e-06,3.729415205343435e-05,0.22197077443970264,0.8245115572325397
WTI_YoY,interaction,interaction_zscore,2,WTI_YoY_t = alpha + GM2_YoY_lag + CI_zscore + GM2_x_CI_zscore,265,212,53,0.41545532842358934,0.37653456384638184,29.22115209908168,25.789475094607205,-0.04016668369431198,7,2008-09;2009-02;2015-08;2020-11;2021-03;2021-04;2021-05,0.3739604906626013,-9.418895217116177,6.487389324184548,-1.4518775961237864,0.14773662952188515,3.8643192194918963,0.8300781947056101,4.655367704078035,5.151897927158089e-06,-2.1212932373336466,0.5814223138762723,-3.6484551533484173,0.00031853083741051336,,,,,-1.120930214205526,0.31899405490722105,-3.513953307159743,0.0005202416673408816,,,,
