target,model,lag_months,window_months,n_predictions,rolling_rmse,rolling_mae,rolling_r2,directional_accuracy,sign_accuracy,target_family,baseline_gm2_rmse_same_lag,baseline_gm2_mae_same_lag,rmse_improvement_vs_same_lag_gm2,mae_improvement_vs_same_lag_gm2
WTI_YoY,gm2_only,0,60,206,39.31295088983413,26.577369175017697,0.040512451379882686,0.5121951219512195,0.6019417475728155,oil_yoy_baseline,39.31295088983413,26.577369175017697,0.0,0.0
WTI_YoY,ci_diagnostic,0,60,407,36.076892999638424,26.128693239061025,0.08942964585001323,0.5812807881773399,0.628992628992629,oil_yoy_baseline,39.31295088983413,26.577369175017697,0.08231531383294123,0.016881879203394595
WTI_YoY,gm2_plus_ci,0,60,206,36.83238555121425,24.701966649017052,0.15777573099786546,0.5463414634146342,0.616504854368932,oil_yoy_baseline,39.31295088983413,26.577369175017697,0.06309791767021287,0.07056388891055076
WTI_YoY,gm2_only,1,60,206,37.69012688244758,26.308796309144054,0.10870093929265567,0.5073170731707317,0.558252427184466,oil_yoy_baseline,37.69012688244758,26.308796309144054,0.0,0.0
WTI_YoY,ci_diagnostic,1,60,407,36.076892999638424,26.128693239061025,0.08942964585001323,0.5812807881773399,0.628992628992629,oil_yoy_baseline,37.69012688244758,26.308796309144054,0.04280255908505427,0.006845735850728769
WTI_YoY,gm2_plus_ci,1,60,206,35.7761835585765,24.209400770895662,0.1969246972049432,0.5463414634146342,0.6019417475728155,oil_yoy_baseline,37.69012688244758,26.308796309144054,0.05078102628416491,0.07979823605683974
WTI_YoY,gm2_only,2,60,205,35.800158401180845,25.432457799888905,0.19101907092077608,0.5441176470588235,0.6097560975609756,oil_yoy_baseline,35.800158401180845,25.432457799888905,0.0,0.0
WTI_YoY,ci_diagnostic,2,60,407,36.076892999638424,26.128693239061025,0.08942964585001323,0.5812807881773399,0.628992628992629,oil_yoy_baseline,35.800158401180845,25.432457799888905,-0.0077299825145033954,-0.027375861375661534
WTI_YoY,gm2_plus_ci,2,60,205,34.712926927126624,23.544555415711226,0.23940957222799586,0.553921568627451,0.6,oil_yoy_baseline,35.800158401180845,25.432457799888905,0.030369459874187574,0.07423200695081564
WTI_YoY,gm2_only,3,60,204,33.8380774925012,24.240843637217832,0.2740606906650134,0.5369458128078818,0.6323529411764706,oil_yoy_baseline,33.8380774925012,24.240843637217832,0.0,0.0
WTI_YoY,ci_diagnostic,3,60,407,36.076892999638424,26.128693239061025,0.08942964585001323,0.5812807881773399,0.628992628992629,oil_yoy_baseline,33.8380774925012,24.240843637217832,-0.06616260949320675,-0.0778788737758578
WTI_YoY,gm2_plus_ci,3,60,204,33.64115927935948,22.522066637701567,0.28248520746531447,0.5960591133004927,0.5931372549019608,oil_yoy_baseline,33.8380774925012,24.240843637217832,0.00581942674448216,0.07090417417970411
WTI_YoY,gm2_only,4,60,203,32.29216357447495,22.684752672404887,0.3349057382453151,0.594059405940594,0.6847290640394089,oil_yoy_baseline,32.29216357447495,22.684752672404887,0.0,0.0
WTI_YoY,ci_diagnostic,4,60,407,36.076892999638424,26.128693239061025,0.08942964585001323,0.5812807881773399,0.628992628992629,oil_yoy_baseline,32.29216357447495,22.684752672404887,-0.11720272060541283,-0.15181741746938054
WTI_YoY,gm2_plus_ci,4,60,203,33.1187401916064,21.719892170957152,0.30042137758330045,0.6188118811881188,0.6502463054187192,oil_yoy_baseline,32.29216357447495,22.684752672404887,-0.02559681748251799,0.04253343712322902
WTI_YoY,gm2_only,5,60,202,31.627711770995013,22.295410982989154,0.3607896178754386,0.4975124378109453,0.6831683168316832,oil_yoy_baseline,31.627711770995013,22.295410982989154,0.0,0.0
