target,model,lag_months,n_train,n_test,train_r2,test_r2,test_rmse,coef_intercept,coef_GM2_YoY_lag,p_GM2_YoY_lag,coef_CI_zscore,p_CI_zscore,coef_CI_monthly_change,p_CI_monthly_change,max_abs_t
WTI_YoY,a_gm2,0,213,53,0.1607181717862306,-0.2567065996417084,33.084448402749295,-16.541995154759515,3.455918898540615,1.254466086564321e-09,,,,,6.356525731866902
WTI_YoY,c_gm2_inventory,0,213,53,0.25074231274230563,-0.08318138914189199,30.715496875021444,0.0850227878571023,2.3205927013019734,5.618807907858958e-05,-4.144683088093036,4.212882849241595e-06,-0.00033615390949170987,0.1212059960876366,4.725454409006107
WTI_YoY,a_gm2,1,213,53,0.21944611804117597,-0.26417240703817346,32.21432371915568,-21.31283851274327,4.048658320878244,5.131450819817474e-13,,,,,7.702003914248172
WTI_YoY,c_gm2_inventory,1,213,53,0.2879191959100772,-0.030038829092079666,29.078544425819967,-5.962032639359254,2.960769624796296,3.1212097550969986e-07,-3.654501712409887,3.935477961758416e-05,-0.0003098845448632481,0.1439417765170723,5.287059032343498
WTI_YoY,a_gm2,2,212,53,0.2745692414381482,-0.1911600839194869,31.270219588618357,-25.419387100709415,4.523603502960346,2.220446049250313e-16,,,,,8.915333760429958
WTI_YoY,c_gm2_inventory,2,212,53,0.324489860579122,0.07412091765863194,27.569126200926465,-11.792272148244342,3.5366844120792584,1.019835549342929e-09,-3.107624055483766,0.0003902322202280484,-0.0002983284071955694,0.14821551760969265,6.39870135677231
WTI_YoY,a_gm2,3,212,52,0.29686170354576713,-0.06848852563982977,28.967227808351755,-26.852322465081674,4.714230882521022,0.0,,,,,9.415998026427198
WTI_YoY,c_gm2_inventory,3,212,52,0.3435357400288289,0.1542763644912436,25.771294714465373,-13.984537080078633,3.772722125239116,6.408007457991971e-11,-2.8771512189349817,0.0009483184600669325,-0.0003504592307277399,0.08417575066633365,6.892955136760047
WTI_YoY,a_gm2,4,211,52,0.292929972503586,0.05291820465216701,27.271922107914335,-26.673118063235155,4.680376373819954,0.0,,,,,9.30515977170882
WTI_YoY,c_gm2_inventory,4,211,52,0.34020775937420045,0.2379536333963771,24.46316822429573,-14.108347744506084,3.7593569342353326,1.1079670514391182e-10,-2.7602381481330505,0.0017651521120207736,-0.0004048010961268389,0.04656863498182817,6.79863762147497
